id,ra,dec,ra_mag,dec_mag
28581,0.925136,79.976372,0.978458,79.961136
28582,0.854938,79.90892,0.911737,79.894432
28583,1.604779,80.110069,1.668557,80.094772
28584,1.297041,80.010254,1.355739,79.995682
28585,1.294159,80.008453,1.35213,79.994164
28587,1.8685,80.006897,1.919096,79.994507
9160482,33.799763,81.936668,33.914074,81.921051
9160483,33.797657,81.936638,33.912182,81.920982
9160484,33.814156,81.928177,33.927925,81.912651
9160485,33.939884,81.946419,34.049355,81.93026
9160486,33.935509,81.9468,34.0452,81.930649
9160487,33.781002,81.961845,33.8979,81.945633
9160488,33.596485,81.858032,33.711018,81.842125
9160489,33.693802,81.838661,33.802639,81.823128
9160490,33.771999,81.798859,33.880733,81.784256
9160491,33.771271,81.798294,33.879597,81.783752
9160492,34.487183,81.770004,34.577995,81.756485
9160493,34.593422,81.723206,34.676579,81.709892
9160494,34.575233,81.761421,34.664543,81.7481
9160495,34.625984,81.751846,34.714161,81.73877
9160496,33.298759,81.802277,33.416225,81.787697
9160497,33.250313,81.800865,33.368919,81.786285
9160498,33.384174,81.809967,33.500854,81.79528
9160499,33.205753,81.797905,33.324314,81.783325
9160500,33.232872,81.78035,33.350307,81.765877
9160501,33.563389,81.800888,33.675774,81.786217
9160502,33.708572,81.747871,33.818848,81.733536
20828278,11.349503,80.515686,11.435644,80.509666
20828279,11.40083,80.526176,11.485909,80.519936
20828280,11.419191,80.495491,11.505142,80.489655
20828281,11.375047,80.501495,11.462394,80.495682
20828282,11.384174,80.494728,11.471784,80.489143
20828283,11.37268,80.495567,11.46066,80.48999
20828284,11.392914,80.500069,11.479497,80.49424
20828285,11.387831,80.504333,11.473548,80.498474
20828286,11.410009,80.497276,11.495706,80.491486
20828287,11.386099,80.497337,11.471793,80.49157
20828288,11.402885,80.509842,11.487829,80.503769
20828289,11.212719,80.474747,11.303478,80.470222
20828290,11.210425,80.475121,11.301188,80.470596
20828291,11.484536,80.5149,11.568595,80.508636
20828292,11.498535,80.51931,11.582632,80.513046
20828293,11.517061,80.518623,11.599119,80.512398
20828294,11.626789,80.526505,11.705447,80.519897
20828295,11.500098,80.496063,11.582971,80.490036
20828296,11.467516,80.490898,11.553427,80.485085
20828297,11.555657,80.492905,11.638501,80.486862
20828298,10.850105,80.395798,10.926718,80.388588
15057742,4.567424,80.417336,4.648243,80.409874
15057743,4.254225,80.533394,4.34489,80.524353
15057744,4.308504,80.52475,4.399087,80.515717
15057745,4.211309,80.520477,4.301759,80.51123
15057746,4.313812,80.536499,4.407146,80.527473
15057747,4.306951,80.537186,4.400639,80.528175
15057748,3.995271,80.513451,4.08052,80.504204
15057749,4.468989,80.517647,4.560359,80.509308
15057750,4.57439,80.517242,4.665916,80.509377
15057751,4.568775,80.505188,4.658298,80.497467
15057752,4.702207,80.513962,4.798146,80.506454
15057753,4.700283,80.511436,4.796196,80.503929
15057754,4.701245,80.516525,4.79721,80.509041
15057755,4.682215,80.516365,4.778486,80.508797
15057756,4.0107,80.464798,4.0955,80.456223
15057757,4.047312,80.470123,4.132631,80.461479
15057758,4.047983,80.469643,4.133628,80.461006
15057759,4.197989,80.464516,4.284157,80.455994
15057760,3.945186,80.452812,4.030413,80.444473
15057761,5.221731,81.121284,5.349738,81.113899
15057762,5.226477,81.124985,5.354239,81.117653
12127969,25.987366,81.328667,26.128391,81.318939
12127970,25.79833,81.333199,25.943487,81.323235
12127971,25.735979,81.327682,25.882776,81.317787
12127972,25.820992,81.348564,25.966757,81.33857
12127973,25.741119,81.345558,25.887655,81.335449
12127974,25.613438,81.312401,25.763065,81.302742
12127975,26.945747,81.401108,27.071625,81.389297
12127976,26.536318,81.376396,26.667933,81.365799
12127977,26.530542,81.388123,26.662334,81.37751
12127978,26.399193,81.331116,26.534334,81.321579
12127979,26.45046,81.352562,26.58493,81.342674
12127980,27.262501,81.251381,27.377937,81.240921
12127981,27.347546,81.251801,27.462233,81.241158
12127982,26.398026,81.408638,26.532598,81.39772
12127983,26.398642,81.408691,26.532598,81.397736
12127984,26.407255,81.409012,26.541191,81.397812
12127985,26.300354,81.400063,26.438059,81.389244
12127986,25.850321,81.353996,25.996178,81.344002
12127987,25.884829,81.353241,26.031466,81.343269
12127988,25.884939,81.353325,26.031466,81.343269
12127989,25.948807,81.3424,26.092751,81.332672
28588,1.898731,79.993042,1.949493,79.980782
28589,0.320023,80.224892,0.391446,80.210175
28590,1.627409,80.253792,1.691959,80.240891
28591,2.164218,80.280815,2.230968,80.270264
28592,2.236201,80.254112,2.300016,80.241646
28593,2.231193,80.246796,2.294411,80.234314
28594,2.235299,80.253502,2.298776,80.241005
